User_ID,Watched Genres,Favorite Actors,Ratings
1,Action,Robert Downey Jr.,4.5
2,Drama,Meryl Streep,4
3,Action,Chris Evans,3.5
4,Romance,Emma Stone,4.2
5,Comedy,Ryan Reynolds,4.1
6,Horror,Vera Farmiga,3.9
7,Action,Jason Statham,4
8,Adventure,Chris Hemsworth,4.3
9,Drama,Leonardo DiCaprio,4.7
10,Action,Tom Holland,4.2
11,Animation,Tom Hanks,3.9
12,Drama,Anne Hathaway,4.1
13,Comedy,Steve Carell,3.8
14,Horror,Pamela Voorhees,3.5
15,Sci-Fi,Keanu Reeves,4.6
16,Fantasy,Gal Gadot,4.4
17,Drama,Denzel Washington,4.2
18,Romantic,Julia Roberts,4.1
19,Horror,Bruce Campbell,3.6
20,Action,Samuel L. Jackson,4.3
21,Action,Scarlett Johansson,4.5
22,Thriller,Emily Blunt,3.9
23,Drama,Hugh Jackman,4.7
24,Comedy,Jennifer Lawrence,4.2
25,Fantasy,Zoe Saldana,4.4
26,Horror,Sigourney Weaver,3.7
27,Action,Arnold Schwarzenegger,4
28,Romance,Lily James,4.1
29,Drama,Robert Pattinson,4.3
30,Comedy,Adam Sandler,3.8
31,Horror,Willem Dafoe,4.2
32,Action,Daniel Craig,4.4
33,Drama,Emma Watson,4.1
34,Romantic,Rachel McAdams,4.3
35,Sci-Fi,Will Smith,4.5
36,Comedy,Dwayne Johnson,4.1
37,Fantasy,Elijah Wood,4.3
38,Drama,Christian Bale,4.6
39,Action,Ryan Gosling,4.2
40,Romance,Reese Witherspoon,4
41,Horror,Jamie Lee Curtis,3.9
42,Drama,Benedict Cumberbatch,4.5
43,Action,Tom Cruise,4.2
44,Fantasy,Orlando Bloom,4.1
45,Action,Charlize Theron,4.3
46,Drama,Al Pacino,4.7
47,Romantic,Meg Ryan,4
48,Comedy,Melissa McCarthy,3.8
49,Romantic,Melissa McCarthy,4.0

